CodeEmploiGrade_neg;LibelleEmploiNEG;FiliereNEG;CadredemploiNEG;etatemploigrade;CodeNETNEH_neg;CodeNETNEH;libelleNETNEH;cadredemploiNETNEH;FiliereNETNEH
0291;OPERATEUR QUALIFIE DES ACTIVITES PHYSIQUES ET SPORTIVES;SPORTIVE;Operateurs territoriaux des activites physiques et sportives;1;TSP3;TSP3;Opérateur qualifié;opérateurs territoriaux des activités physiques et sportives;Filière sportive
0292;OPERATEUR DES ACTIVITES PHYSIQUES ET SPORTIVES;SPORTIVE;Operateurs territoriaux des activites physiques et sportives;1;TSP2;TSP2;Opérateur;opérateurs territoriaux des activités physiques et sportives;Filière sportive
0293;AIDE OPERATEUR DES ACTIVITES PHYSIQUES ET SPORTIVES;SPORTIVE;Operateurs territoriaux des activites physiques et sportives;1;TSP1;TSP1;Aide-opérateur;opérateurs territoriaux des activités physiques et sportives;Filière sportive
0296;SAPEUR DE DEUXIEME CLASSE * TOTALITE MAJORATION;INCENDIE ET SECOURS;Sapeurs pompiers professionnels non officiers;8;;TRU1;Sapeur de 2e classe;sapeurs et caporaux de sapeurs-pompiers professionnel;Filière incendie et secours
0298;SAPEUR DE PREMIERE CLASSE * TOTALITE MAJORATION;INCENDIE ET SECOURS;Sapeurs pompiers professionnels non officiers;8;;TRU2;Sapeur de 2e classe;sapeurs et caporaux de sapeurs-pompiers professionnel;Filière incendie et secours
0300;CAPORAL * TOTALITE MAJORATION;INCENDIE ET SECOURS;Sapeurs pompiers professionnels non officiers;1;;TRS2;Caporal;sapeurs-pompiers professionnels non officiers;Filière incendie et secours
0302;SERGENT * TOTALITE MAJORATION;INCENDIE ET SECOURS;Sapeurs pompiers professionnels non officiers;1;;TRS3;Sergent;sapeurs-pompiers professionnels non officiers;Filière incendie et secours
0304;ADJUDANT * TOTALITE MAJORATION;INCENDIE ET SECOURS;Sapeurs pompiers professionnels non officiers;1;;TRS4;Adjudant;sapeurs-pompiers professionnels non officiers;Filière incendie et secours
0308;LIEUTENANT * TOTALITE MAJORATION;INCENDIE ET SECOURS;Lieutenants de sapeurs pompiers professionnels;8;;TRL2;Lieutenant;majors et lieutenants de sapeurs-pompiers professionnels;Filière incendie et secours
0313;LIEUTENANT CHEF DE SECTION PRINCIPAL * TOTALITE MAJORATION;INCENDIE ET SECOURS;Lieutenants de sapeurs pompiers professionnels;8;;TRL2;Lieutenant;majors et lieutenants de sapeurs-pompiers professionnels;Filière incendie et secours
0317;LIEUTENANT DE DEUXIEME CLASSE * TOTALITE MAJORATION;INCENDIE ET SECOURS;Lieutenants de sapeurs pompiers professionnels;8;;TRL2;Lieutenant;majors et lieutenants de sapeurs-pompiers professionnels;Filière incendie et secours
0319;LIEUTENANT DE PREMIERE CLASSE * TOTALITE MAJORATION;INCENDIE ET SECOURS;Lieutenants de sapeurs pompiers professionnels;8;;TRL2;Lieutenant;majors et lieutenants de sapeurs-pompiers professionnels;Filière incendie et secours
0321;LIEUTENANT HORS CLASSE * TOTALITE MAJORATION;INCENDIE ET SECOURS;Lieutenants de sapeurs pompiers professionnels;8;;TRL2;Lieutenant;majors et lieutenants de sapeurs-pompiers professionnels;Filière incendie et secours
0323;CAPITAINE * TOTALITE MAJORATION;INCENDIE ET SECOURS;Sapeurs pompiers professionnels officiers;8;;TRC1;Capitaine;capitaines, commandants, lieutenants-colonels et colonels de sapeurs-pompiers professionnels;Filière incendie et secours
0325;COMMANDANT * TOTALITE MAJORATION;INCENDIE ET SECOURS;Sapeurs pompiers professionnels officiers;8;;TRC2;Commandant;capitaines, commandants, lieutenants-colonels et colonels de sapeurs-pompiers professionnels;Filière incendie et secours
0327;LIEUTENANT COLONEL * TOTALITE MAJORATION;INCENDIE ET SECOURS;Sapeurs pompiers professionnels officiers;8;;TRC3;Lieutenant-colonel;capitaines, commandants, lieutenants-colonels et colonels de sapeurs-pompiers professionnels;Filière incendie et secours
0328;LIEUTENANT CHEF DE SECTION * TOTALITE MAJORATION;INCENDIE ET SECOURS;Lieutenants de sapeurs pompiers professionnels;8;;TRL2;Lieutenant;majors et lieutenants de sapeurs-pompiers professionnels;Filière incendie et secours
0332;COLONEL * TOTALITE MAJORATION;INCENDIE ET SECOURS;Sapeurs pompiers professionnels officiers;8;;TRC4;Colonel;capitaines, commandants, lieutenants-colonels et colonels de sapeurs-pompiers professionnels;Filière incendie et secours
0334;CONSEILLER TERRITORIAL SOCIO-EDUCATIF;MEDICO SOCIAL;Conseillers territoriaux sociaux educatifs;8;TMM1;TMM1;Conseiller socio-éducatif;conseillers territoriaux socio-éducatifs;Filière sociale
0335;ASSISTANT SOCIO-EDUCATIF;MEDICO SOCIAL;Assistants territoriaux sociaux educatifs;1;TMH1;TMH1;Assistant socio-éducatif;assistants territoriaux socio-éducatifs;Filière sociale
0336;ASSISTANT SOCIO-EDUCATIF PRINCIPAL;MEDICO SOCIAL;Assistants territoriaux sociaux educatifs;1;TMH2;TMH2;Assistant socio-éducatif principal;assistants territoriaux socio-éducatifs;Filière sociale
0337;EDUCATEUR DE JEUNES ENFANTS;MEDICO SOCIAL;Educateurs territoriaux de jeunes enfants;8;;TMA1;Educateur de jeunes enfants;éducateurs territoriaux de jeunes enfants;Filière sociale
0338;EDUCATEUR PRINCIPAL DE JEUNES ENFANTS;MEDICO SOCIAL;Educateurs territoriaux de jeunes enfants;8;;TMA1;Educateur de jeunes enfants;éducateurs territoriaux de jeunes enfants;Filière sociale
0339;EDUCATEUR CHEF DE JEUNES ENFANTS;MEDICO SOCIAL;Educateurs territoriaux de jeunes enfants;8;;TMA3;Educateur-chef de jeunes enfants;éducateurs territoriaux de jeunes enfants;Filière sociale
0340;MONITEUR EDUCATEUR;MEDICO SOCIAL;Moniteurs-educateurs territoriaux;8;TMB1;TMB1;Moniteur-éducateur;moniteurs-éducateurs territoriaux;Filière sociale
0342;AGENT SOCIAL;MEDICO SOCIAL;Agents sociaux territoriaux;8;AMG1;TMP1;Agent social de 2ème classe;agents sociaux territoriaux;Filière sociale
0343;AGENT SOCIAL QUALIFIE DE 2E CLASSE;MEDICO SOCIAL;Agents sociaux territoriaux;8;AMG2;TMP1;Agent social de 2ème classe;agents sociaux territoriaux;Filière sociale
0344;AGENT SOCIAL QUALIFIE DE PREMIERE CLASSE;MEDICO SOCIAL;Agents sociaux territoriaux;8;AMG3;TMP2;Agent social de 1ère classe;agents sociaux territoriaux;Filière sociale
0345;AGENT SPECIALISE 2EME CL DES ECOLES MATERNELLES;MEDICO SOCIAL;Agents territoriaux specialises des ecoles maternelles;1;AMS1;TMD2;Agent spécialisé principal de 2ème classe des écoles maternelles;agents territoriaux spécialisés des écoles maternelles;Filière sociale
0346;AGENT SPECIALISE 1ERE CL DES ECOLES MATERNELLES;MEDICO SOCIAL;Agents territoriaux specialises des ecoles maternelles;1;TMD1;TMD1;Agent spécialisé de 1ère classe des écoles maternelles;agents territoriaux spécialisés des écoles maternelles;Filière sociale
0347;MEDECIN TERRITORIAL DE DEUXIEME CLASSE;MEDICO SOCIAL;Medecins territoriaux;1;TOD1;TOD1;Médecin de 2ème classe;médecins territoriaux;Filière médico-sociale
0348;MEDECIN TERRITORIAL DE PREMIERE CLASSE;MEDICO SOCIAL;Medecins territoriaux;1;TOD2;TOD2;Médecin de 1ère classe;médecins territoriaux;Filière médico-sociale
0350;PSYCHOLOGUE CLASSE NORMALE;MEDICO SOCIAL;Psychologue territoriaux;1;TOH1;TOH1;Psychologue de classe normale;psychologues territoriaux;Filière médico-sociale
0351;PSYCHOLOGUE HORS CLASSE;MEDICO SOCIAL;Psychologue territoriaux;1;TOH2;TOH2;Psychologue hors classe;psychologues territoriaux;Filière médico-sociale
0352;SAGE-FEMME DE DEUXIEME CLASSE;MEDICO SOCIAL;Sages femmes territoriales;8;AMF1;TOF1;Sage-femme de classe normale;sages-femmes territoriales;Filière médico-sociale
0353;SAGE-FEMME DE PREMIERE CLASSE;MEDICO SOCIAL;Sages femmes territoriales;8;AMF2;TOF2;Sage-femme de classe supérieure;sages-femmes territoriales;Filière médico-sociale
0355;SAGE-FEMME HORS CLASSE;MEDICO SOCIAL;Sages femmes territoriales;8;AMF3;TOF3;Sage-femme de classe exceptionnelle;sages-femmes territoriales;Filière médico-sociale
0356;COORDINATRICE D'ETAB ET SERV D'ACCUEIL DES ENF DE - 6 ANS (ANC: DE CRECHE);MEDICO SOCIAL;Coordinatrices de creches territoriales;8;AMR1;TOC2;Puéricultrice cadre supérieur de santé;puéricultrices cadres territoriaux de santé;Filière médico-sociale
0358;PUERICULTRICE DE CLASSE NORMALE;MEDICO SOCIAL;Puericultrices territoriales;8;;TOP1;Puéricultrice de classe normale;puéricultrices territoriales;Filière médico-sociale
0360;PUERICULTRICE DE CLASSE SUPERIEURE;MEDICO SOCIAL;Puericultrices territoriales;8;;TOP1;Puéricultrice de classe normale;puéricultrices territoriales;Filière médico-sociale
0362;PUERICULTRICE HORS CLASSE;MEDICO SOCIAL;Puericultrices territoriales;8;AMP3;TOC1;Puéricultrice cadre de santé;puéricultrices cadres territoriaux de santé;Filière médico-sociale
0363;INFIRMIER TERRITORIAL CLASSE NORMALE;MEDICO SOCIAL;Infirmiers territoriaux;8;;TON1;Infirmier de classe normale;infirmiers territoriaux;Filière médico-sociale
0364;INFIRMIER HORS CLASSE;MEDICO SOCIAL;Infirmiers territoriaux;8;AMN3;TOA1;Cadre de santé;cadres territoriaux de santé infirmiers, rééducateurs et assistants médico-techniques;Filière médico-sociale
0365;INFIRMIER DE CLASSE SUPERIEURE;MEDICO SOCIAL;Infirmiers territoriaux;8;;TON1;Infirmier de classe normale;infirmiers territoriaux;Filière médico-sociale
0366;REEDUCATEUR CLASSE NORMALE;MEDICO SOCIAL;Reeducateurs territoriaux;8;;TOT1;Rééducateur de classe normale;rééducateurs territoriaux;Filière médico-sociale
0367;REEDUCATEUR HORS CLASSE;MEDICO SOCIAL;Reeducateurs territoriaux;8;AMT3;TOA1;Cadre de santé;cadres territoriaux de santé infirmiers, rééducateurs et assistants médico-techniques;Filière médico-sociale
0368;REEDUCATEUR CLASSE SUPERIEURE;MEDICO SOCIAL;Reeducateurs territoriaux;8;;TOT1;Rééducateur de classe normale;rééducateurs territoriaux;Filière médico-sociale
0369;AUXILIAIRE DE PUERICULTURE;MEDICO SOCIAL;Auxiliaires de puericulture territoriaux;1;AOJ1;TOJ1;Auxiliaire de puériculture de 1ère classe;auxiliaires de puériculture territoriaux;Filière médico-sociale
0370;AUXILIAIRE DE PUERICULTURE PRINCIPAL;MEDICO SOCIAL;Auxiliaires de puericulture territoriaux;8;AOJ2;TOJ1;Auxiliaire de puériculture de 1ère classe;auxiliaires de puériculture territoriaux;Filière médico-sociale
0371;MEDECIN TERRITORIAL HORS CLASSE;MEDICO SOCIAL;Medecins territoriaux;1;TOD3;TOD3;Médecin hors classe;médecins territoriaux;Filière médico-sociale
0372;AUXILIAIRE DE SOINS;MEDICO SOCIAL;Auxiliaires de soins territoriaux;1;AOK1;TOK1;Auxiliaire de soins de 1ère classe;auxiliaires de soins territoriaux;Filière médico-sociale
0373;AUXILIAIRE DE SOINS PRINCIPAL;MEDICO SOCIAL;Auxiliaires de soins territoriaux;8;AOK2;TOK1;Auxiliaire de soins de 1ère classe;auxiliaires de soins territoriaux;Filière médico-sociale
0374;BIOLOGISTE TERRITORIAL DE DEUXIEME CLASSE;MEDICO SOCIAL;Biologistes veterinaires et pharmaciens territoriaux;8;TEB1-B;TEB1;Biologiste, vétérinaire et pharmacien de 2ème classe;biologistes, vétérinaires et pharmaciens territoriaux;Filière médico-technique
0375;VETERINAIRE TERRITORIAL DE DEUXIEME CLASSE;MEDICO SOCIAL;Biologistes veterinaires et pharmaciens territoriaux;8;TEB1-V;TEB1;Biologiste, vétérinaire et pharmacien de 2ème classe;biologistes, vétérinaires et pharmaciens territoriaux;Filière médico-technique
0376;PHARMACIEN TERRITORIAL DE DEUXIEME CLASSE;MEDICO SOCIAL;Biologistes veterinaires et pharmaciens territoriaux;8;TEB1-P;TEB1;Biologiste, vétérinaire et pharmacien de 2ème classe;biologistes, vétérinaires et pharmaciens territoriaux;Filière médico-technique
0377;BIOLOGISTE DE PREMIERE CLASSE;MEDICO SOCIAL;Biologistes veterinaires et pharmaciens territoriaux;8;TEB2-B;TEB2;Biologiste, vétérinaire et pharmacien de 1ère classe;biologistes, vétérinaires et pharmaciens territoriaux;Filière médico-technique
0378;VETERINAIRE DE PREMIERE CLASSE;MEDICO SOCIAL;Biologistes veterinaires et pharmaciens territoriaux;8;TEB2-V;TEB2;Biologiste, vétérinaire et pharmacien de 1ère classe;biologistes, vétérinaires et pharmaciens territoriaux;Filière médico-technique
0379;PHARMACIEN DE PREMIERE CLASSE;MEDICO SOCIAL;Biologistes veterinaires et pharmaciens territoriaux;8;TEB2-P;TEB2;Biologiste, vétérinaire et pharmacien de 1ère classe;biologistes, vétérinaires et pharmaciens territoriaux;Filière médico-technique
0380;BIOLOGISTE HORS CLASSE;MEDICO SOCIAL;Biologistes veterinaires et pharmaciens territoriaux;1;TEB3-B;TEB3;Biologiste, vétérinaire et pharmacien hors classe;biologistes, vétérinaires et pharmaciens territoriaux;Filière médico-technique
0381;VETERINAIRE HORS CLASSE;MEDICO SOCIAL;Biologistes veterinaires et pharmaciens territoriaux;1;TEB3-V;TEB3;Biologiste, vétérinaire et pharmacien hors classe;biologistes, vétérinaires et pharmaciens territoriaux;Filière médico-technique
0382;PHARMACIEN HORS CLASSE;MEDICO SOCIAL;Biologistes veterinaires et pharmaciens territoriaux;1;TEB3-P;TEB3;Biologiste, vétérinaire et pharmacien hors classe;biologistes, vétérinaires et pharmaciens territoriaux;Filière médico-technique
0384;MANIPULATEUR D'ELECTRORADIOLOGIE DE CLASSE NORMALE;MEDICO SOCIAL;Manipulateurs territoriaux d electroradiologie;8;;TEQ1;Assistant médico-technique de classe normale;assistants territoriaux médico-techniques;Filière médico-technique
0385;MANIPULATEUR D'ELECTRORADIOLOGIE DE CLASSE SUPERIEURE;MEDICO SOCIAL;Manipulateurs territoriaux d electroradiologie;8;;TEQ1;Assistant médico-technique de classe normale;assistants territoriaux médico-techniques;Filière médico-technique
0386;MANIPULATEUR D'ELECTRORADIOLOGIE HORS CLASSE *;MEDICO SOCIAL;Manipulateurs territoriaux d electroradiologie;1;;TEQ2;Assistant médico-technique de classe supérieure;assistants territoriaux médico-techniques;Filière médico-technique
0387;ASSISTANT QUALIFIE DE LABORATOIRE CL NORMALE;MEDICO SOCIAL;Assistants territoriaux qualifies de laboratoire;8;;TEQ1;Assistant médico-technique de classe normale;assistants territoriaux médico-techniques;Filière médico-technique
0388;ASSISTANT QUALIFIE DE LABORATOIRE CL SUPERIEURE;MEDICO SOCIAL;Assistants territoriaux qualifies de laboratoire;8;;TEQ1;Assistant médico-technique de classe normale;assistants territoriaux médico-techniques;Filière médico-technique
0389;ASSISTANT MEDICO-TECHNIQUE HORS CL (ASSIST QUAL DE LABO);MEDICO SOCIAL;Assistants territoriaux qualifies de laboratoire;8;AMQ3;TOA1;Cadre de santé;cadres territoriaux de santé infirmiers, rééducateurs et assistants médico-techniques;Filière médico-sociale
0390;AIDE MEDICO-TECHNIQUE;TECHNIQUE;Agents technique territoriaux;8;AEV1;TTH1;Adjoint  technique de 2ème classe;adjoints techniques territoriaux;Filière technique
0391;AIDE MEDICO-TECHNIQUE QUALIFIE;TECHNIQUE;Agents technique territoriaux;8;AEV2;TTH1;Adjoint  technique de 2ème classe;adjoints techniques territoriaux;Filière technique
0392;AIDE MEDICO-TECHNIQUE * ECHELONNEMENT PROVISOIRE;TECHNIQUE;Agents technique territoriaux;1;;TTH1;Adjoint  technique de 2ème classe;adjoints techniques territoriaux;Filière technique
0393;SECRETAIRE MEDICO-SOCIAL;MEDICO SOCIAL;Secretaires medico sociaux territoriaux;8;;TAR1;Rédacteur;rédacteurs territoriaux;Filière administrative
0394;SECRETAIRE MEDICO-SOCIAL EN CHEF;MEDICO SOCIAL;Secretaires medico sociaux territoriaux;8;;TAR3;Rédacteur-chef;rédacteurs territoriaux;Filière administrative
0395;SECRETAIRE MEDICO-SOCIAL PRINCIPAL;MEDICO SOCIAL;Secretaires medico sociaux territoriaux;8;;TAR1;Rédacteur;rédacteurs territoriaux;Filière administrative
0396;BIOLOGISTE DE CLASSE EXCEPTIONNELLE;MEDICO SOCIAL;Biologistes veterinaires et pharmaciens territoriaux;1;TEB4-B;TEB4;Biologiste, vétérinaire et pharmacien de classe exceptionnelle;biologistes, vétérinaires et pharmaciens territoriaux;Filière médico-technique
0397;VETERINAIRE DE CLASSE EXCEPTIONNELLE;MEDICO SOCIAL;Biologistes veterinaires et pharmaciens territoriaux;1;TEB4-V;TEB4;Biologiste, vétérinaire et pharmacien de classe exceptionnelle;biologistes, vétérinaires et pharmaciens territoriaux;Filière médico-technique
0398;PHARMACIEN DE CLASSE EXCEPTIONNELLE;MEDICO SOCIAL;Biologistes veterinaires et pharmaciens territoriaux;1;TEB4-P;TEB4;Biologiste, vétérinaire et pharmacien de classe exceptionnelle;biologistes, vétérinaires et pharmaciens territoriaux;Filière médico-technique
0399;INFIRMIERE AUTORISEE TERRITORIALE DE CLASSE NORMALE;MEDICO SOCIAL;Infirmiers territoriaux;8;;TON1;Infirmier de classe normale;infirmiers territoriaux;Filière médico-sociale
0403;AGENT TECHNIQUE COORD 2EME CAT (A P DE PARIS);TECHNIQUE;Agents techniques de coordination;8;;TTH1;Adjoint  technique de 2ème classe;adjoints techniques territoriaux;Filière technique
0404;AGENT TECHNIQUE COORD 1ERE CAT (A P DE PARIS);TECHNIQUE;Agents techniques de coordination;8;;TTH2;Adjoint  technique de 1ère classe;adjoints techniques territoriaux;Filière technique
0406;INGENIEUR EN CHEF HORS CL (A P DE PARIS);TECHNIQUE;Ingenieurs;8;;TTG4;Ingénieur en chef de classe exceptionnelle;ingénieurs territoriaux;Filière technique
0407;INGENIEUR EN CHEF 1ERE CL (A P DE PARIS);TECHNIQUE;Ingenieurs;8;;TTG4;Ingénieur en chef de classe exceptionnelle;ingénieurs territoriaux;Filière technique
0408;INGENIEUR EN CHEF 2EME CL (A P DE PARIS);TECHNIQUE;Ingenieurs;8;;TTG3;Ingénieur en chef de classe normale;ingénieurs territoriaux;Filière technique
0409;INGENIEUR PRINCIPAL (A P DE PARIS);TECHNIQUE;Ingenieurs;1;TTG2;TTG2;Ingénieur principal;ingénieurs territoriaux;Filière technique
0410;INGENIEUR SUBDIVISIONNAIRE (A P DE PARIS);TECHNIQUE;Ingenieurs;8;TTG1;TTG1;Ingénieur;ingénieurs territoriaux;Filière technique
0411;ADJOINT DES CADRES TECHN CL EXCEPT (A P DE PARIS);TECHNIQUE;Adjoints des cadres techniques;8;;1253;Adjoint des cadres hospitaliers de classe exceptionnelle;Adjoint des cadres hospitaliers;Personnel de direction et personnels administratifs
0412;ADJOINT DES CADRES TECHN CL SUPER (A P DE PARIS);TECHNIQUE;Adjoints des cadres techniques;8;;1252;Adjoint des cadres hospitaliers de classe supérieure;Adjoint des cadres hospitaliers;Personnel de direction et personnels administratifs
0413;ADJOINT DES CADRES TECHN CL NORMALE (A P DE PARIS);TECHNIQUE;Adjoints des cadres techniques;8;;1251;Adjoint des cadres hospitaliers de classe normale;Adjoint des cadres hospitaliers;Personnel de direction et personnels administratifs
0414;AGENT TECHN SPECIALISE HORS CL (A P DE PARIS);TECHNIQUE;Agents techniques specialises;1;;TTH3;Adjoint technique principal de 2ème classe;adjoints techniques territoriaux;Filière technique
0415;AGENT TECHN SPECIALISE 1ERE CL (A P DE PARIS);TECHNIQUE;Agents techniques specialises;1;;TTH2;Adjoint  technique de 1ère classe;adjoints techniques territoriaux;Filière technique
0416;AGENT TECHN SPECIALISE 2EME CL (A P DE PARIS);TECHNIQUE;Agents techniques specialises;1;;TTH1;Adjoint  technique de 2ème classe;adjoints techniques territoriaux;Filière technique
0417;CADRE SOCIO EDUCATIF;PERS SOIGNANT ET EDUCATIF;Cadres socio educatifs;1;2602;2602;Cadre socio-éducatif;Cadre socio-éducatif;Personnels éducatifs et sociaux
0418;ASSISTANT SOCIO-EDUCATIF;PERS SOIGNANT ET EDUCATIF;Assistants socio educatifs;8;2611;2611;Assistant socio-éducatif - éducateur spécialisé;Assistant socio-éducatif;Personnels éducatifs et sociaux
0419;CONSEILLER EN ECONOMIE SOCIALE ET FAMILIALE;PERS SOIGNANT ET EDUCATIF;Conseillers en economie sociale et familiale;8;2621;2621;Conseiller en économie sociale et familiale;Conseiller en économie sociale et familiale;Personnels éducatifs et sociaux
0420;CONSEILLER EN ECONOMIE SOCIALE ET FAMILIALE PRINCIPAL;PERS SOIGNANT ET EDUCATIF;Conseillers en economie sociale et familiale;8;2622;2622;Conseiller en économie sociale et familiale principal;Conseiller en économie sociale et familiale;Personnels éducatifs et sociaux
0421;ANIMATEUR;PERS SOIGNANT ET EDUCATIF;Animateurs hospitaliers;8;2631;2631;Animateur;Animateur;Personnels éducatifs et sociaux
0422;EDUCATEUR TECHNIQUE SPECIALISE;PERS SOIGNANT ET EDUCATIF;Educateurs techniques specialises;8;2641;2641;Educateur technique spécialisé;Educateur technique spécialisé;Personnels éducatifs et sociaux
0423;MONITEUR EDUCATEUR;PERS SOIGNANT ET EDUCATIF;Moniteurs educateurs;1;2661;2661;Moniteur-éducateur;Personnels éducatifs;Personnels éducatifs et sociaux
0424;MONITEUR D ATELIER;PERS SOIGNANT ET EDUCATIF;Moniteurs d atelier;1;2665;2665;Moniteur d'atelier (cadre d'extinction);Moniteur d'atelier;Personnels éducatifs et sociaux
0428;EDUCATRICE DE JEUNES ENFANTS DE CLASSE NORMALE;PERS SOIGNANT ET EDUCATIF;Educateurs de jeunes enfants;8;;2657;Educateur de jeunes enfants de classe normale;Educateur de jeunes enfants;Personnels éducatifs et sociaux
0429;EDUCATRICE DE JEUNES ENFANTS DE CLASSE SUPERIEURE;PERS SOIGNANT ET EDUCATIF;Educateurs de jeunes enfants;8;;2657;Educateur de jeunes enfants de classe normale;Educateur de jeunes enfants;Personnels éducatifs et sociaux
0430;EDUCATRICE DE JEUNES ENFANTS DE CLASSE EXCEPTIONNELLE;PERS SOIGNANT ET EDUCATIF;Educateurs de jeunes enfants;8;;2659;Educateur de jeunes enfants de classe exceptionnelle;Educateur de jeunes enfants;Personnels éducatifs et sociaux
0431;AIDE DE PHARMACIE DE CLASSE SUPERIEURE(*);MEDICO-TECHNIQUE;Aides de pharmacie;1;3132;3132;Aide de pharmacie de classe supérieure e4 (cadre d'extinction);Aide de pharmacie;Personnels médico-techniques
0432;AIDE DE LABORATOIRE DE CLASSE SUPERIEURE(*);MEDICO-TECHNIQUE;Aides de laboratoire;1;3133;3133;Aide de laboratoire de classe supérieure e4 (cadre d'extinction);Aide de laboratoire;Personnels médico-techniques
0433;AGENT D'ENTRETIEN QUALIFIE;TECHNIQUE;Agents d entretien;1;4437;4437;Agent d'entretien qualifié e3;Personnels ouvriers;Personnels techniques et ouvriers
0434;AGENT DES SERVICES HOSPITALIERS QUALIFIE DE 1ERE CATEGORIE;AGENTS SERVICES HOSPITALIER;Agents des services hospitaliers qualifies;8;;3256;Agent des services hospitaliers qualifié e3 (25/06/07);Aide-soignant et ashq;Personnels des services de soins
0435;AGENT D'ENTRETIEN SPECIALISE *;TECHNIQUE;Agents d entretien;8;HVG1;4437;Agent d'entretien qualifié e3;Personnels ouvriers;Personnels techniques et ouvriers
0437;CONSEILLER DES ACTIVITES PHYSIQUES ET SPORTIVES;SPORTIVE;Conseillers territoriaux des activites physiques et sportives;1;TSC1;TSC1;Conseiller;conseillers territoriaux des activités physiques et sportives;Filière sportive
0438;PUERICULTRICE DE CLASSE NORMALE;MEDICO SOCIAL;Puericultrices territoriales;1;TOP1;TOP1;Puéricultrice de classe normale;puéricultrices territoriales;Filière médico-sociale
0439;INFIRMIERE DE CLASSE NORMALE;MEDICO SOCIAL;Infirmiers territoriaux;1;TON1;TON1;Infirmier de classe normale;infirmiers territoriaux;Filière médico-sociale
0440;REEDUCATEUR DE CLASSE NORMALE;MEDICO SOCIAL;Reeducateurs territoriaux;8;TOT1;TOT1;Rééducateur de classe normale;rééducateurs territoriaux;Filière médico-sociale
0441;MANIPULATEUR D'ELECTRORADIOLOGIE DE CLASSE NORMALE *;MEDICO SOCIAL;Manipulateurs territoriaux d electroradiologie;1;;TEQ1;Assistant médico-technique de classe normale;assistants territoriaux médico-techniques;Filière médico-technique
0442;ASSISTANT MEDICO-TECHNIQUE CL NORMALE (ASSIST QUAL DE LABO);MEDICO SOCIAL;Assistants territoriaux qualifies de laboratoire;8;TEQ1;TEQ1;Assistant médico-technique de classe normale;assistants territoriaux médico-techniques;Filière médico-technique
0443;ATTACHE;ADMINISTRATIF;Attaches territoriaux;1;TAT1;TAT1;Attaché;attachés territoriaux;Filière administrative
0448;INFIRMIERE DE BLOC OPERATOIRE DE CLASSE NORMALE;INFIRMIER;Infirmiers de salle d operation;1;2460;2460;Infirmier de bloc opératoire de classe normale;Infirmier de bloc opératoire;Personnels des services de soins
0449;INFIRMIERE ANESTHESISTE DE CLASSE NORMALE;INFIRMIER;Infirmiers specialises en anesthesie reanimation;1;2430;2430;Infirmier anesthésiste d.e de classe normale;Infirmier anesthésiste;Personnels des services de soins
0450;PUERICULTRICE DE CLASSE NORMALE;INFIRMIER;Puericultrices;1;2440;2440;Puéricultrice d.e de classe normale;Puéricultrice;Personnels des services de soins
0451;INFIRMIERE DE CLASSE NORMALE;INFIRMIER;Infirmiers;1;2432;2432;Infirmier d.e de classe normale;Infirmier;Personnels des services de soins
0452;INFIRMIERE DIPLOMEE DE SECTEUR PSYCHIATRIQUE DE CL NORMALE;INFIRMIER;Infirmiers;8;2437;2437;Infirmier psychiatrique de classe normale;Infirmier;Personnels des services de soins
0453;INFIRMIERE AUTORISEE DE CLASSE NORMALE;INFIRMIER;Infirmiers;8;;2432;Infirmier d.e de classe normale;Infirmier;Personnels des services de soins
0454;INFIRMIERE SPECIALISEE ECHELLE INFIRMIERE DE BLOC OPERATOIREDE CLASSE NORMALE;INFIRMIER;Infirmiers;8;;2432;Infirmier d.e de classe normale;Infirmier;Personnels des services de soins
0455;PEDICURE PODOLOGUE DE CLASSE NORMALE;PERS SOIGNANT ET EDUCATIF;Pedicures podologues;1;2450;2450;Pédicure-podologue de classe normale;Pédicure podologue;Personnels des services de soins
0456;MASSEUR KINESITHERAPEUTE DE CLASSE NORMALE;PERS SOIGNANT ET EDUCATIF;Masseurs kinesitherapeutes;1;2452;2452;Masseur-kinesithérapeute de classe normale;Masseur-kinésithérapeute;Personnels des services de soins
0457;ERGOTHERAPEUTE DE CLASSE NORMALE;PERS SOIGNANT ET EDUCATIF;Ergotherapeutes;1;2453;2453;Ergotherapeute de classe normale;Ergothérapeute;Personnels des services de soins
0458;PSYCHOMOTRICIENNE DE CLASSE NORMALE;PERS SOIGNANT ET EDUCATIF;Psychomotriciens;1;2454;2454;Psychomotricien de classe normale;Psychomotricien;Personnels des services de soins
0459;ORTHOPHONISTE DE CLASSE NORMALE;PERS SOIGNANT ET EDUCATIF;Orthophonistes;1;2455;2455;Orthophoniste de classe normale;Orthophoniste;Personnels des services de soins
0460;ORTHOPTISTE DE CLASSE NORMALE;PERS SOIGNANT ET EDUCATIF;Orthoptistes;1;2456;2456;Orthoptiste de classe normale;Orthoptiste;Personnels des services de soins
0461;DIETETICIENNE DE CLASSE NORMALE;PERS SOIGNANT ET EDUCATIF;Dieteticiens;1;2457;2457;Dietéticien de classe normale;Diététicien;Personnels des services de soins
